protocal,count,port,flag,type,attack,srcip
6,1,53116,16,-1,0,-1
6,41,58574,16,-1,0,-1
6,2,53114,16,-1,0,-1
6,8,58574,24,-1,0,-1
6,1,80,16,-1,0,-1
6,1,443,24,-1,0,-1
6,48,443,16,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,43330,18,-1,0,-1
6,2,443,16,-1,0,-1
6,1,53116,16,-1,0,-1
6,10,443,16,-1,0,-1
6,1,43330,20,-1,0,-1
17,4,55459,-1,-1,0,-1
6,9,43330,16,-1,0,-1
6,41,58574,16,-1,0,-1
6,5,43330,24,-1,0,-1
6,4,443,24,-1,0,-1
6,2,53114,16,-1,0,-1
6,1,443,2,-1,0,-1
6,8,58574,24,-1,0,-1
